,appt_date,GP,Other Practice Staff,Unknown,total,weekday
0,01/Jun/22,458468,468293,36918,963679,Wed
1,02/Jun/22,2480,2208,307,4995,Thu
2,03/Jun/22,1961,1915,332,4208,Fri
3,04/Jun/22,6451,8139,621,15211,Sat
4,05/Jun/22,1761,1650,292,3703,Sun
5,06/Jun/22,374446,456867,28759,860072,Mon
6,07/Jun/22,218710,378491,12721,609922,Tue
7,08/Jun/22,179564,328448,9860,517872,Wed
8,09/Jun/22,163506,301066,8174,472746,Thu
9,10/Jun/22,136141,245128,6626,387895,Fri
10,11/Jun/22,6064,8514,162,14740,Sat
11,12/Jun/22,621,599,17,1237,Sun
12,13/Jun/22,135115,245430,5730,386275,Mon
13,14/Jun/22,117111,220794,5105,343010,Tue
14,15/Jun/22,99363,194924,4230,298517,Wed
15,16/Jun/22,87883,167735,3641,259259,Thu
16,17/Jun/22,73975,135645,2824,212444,Fri
17,18/Jun/22,3101,4477,58,7636,Sat
18,19/Jun/22,221,280,2,503,Sun
19,20/Jun/22,74237,141598,2678,218513,Mon
20,21/Jun/22,64131,123223,2350,189704,Tue
21,22/Jun/22,54169,107672,2224,164065,Wed
22,23/Jun/22,46401,93049,1808,141258,Thu
23,24/Jun/22,38005,73994,1425,113424,Fri
24,25/Jun/22,1720,2245,48,4013,Sat
25,26/Jun/22,253,507,4,764,Sun
26,27/Jun/22,36849,76778,1330,114957,Mon
27,28/Jun/22,33336,70177,1326,104839,Tue
28,29/Jun/22,27731,62059,1196,90986,Wed
29,30/Jun/22,22016,51558,1000,74574,Thu
